ID,token
4,a
5,child
6,in
7,pink
8,dress
9,is
10,climbing
11,up
12,set
13,of
14,stairs
15,an
16,entry
17,way
18,girl
19,going
20,into
21,wooden
22,building
23,little
24,playhouse
25,the
26,to
27,her
28,cabin
29,black
30,dog
31,and
32,spotted
33,are
34,fighting
35,tricolored
36,playing
37,with
38,each
39,other
40,on
41,road
42,white
43,brown
44,spots
45,staring
46,at
47,street
48,two
49,dogs
50,different
51,breeds
52,looking
53,pavement
54,moving
55,toward
56,covered
57,paint
58,sits
59,front
60,painted
61,rainbow
62,hands
63,bowl
64,sitting
65,large
66,small
67,grass
68,plays
69,fingerpaints
70,canvas
71,it
72,there
73,pigtails
74,painting
75,young
76,outside
77,man
78,lays
79,bench
80,while
81,his
82,by
83,him
84,which
85,also
86,tied
87,sleeping
88,next
89,shirtless
90,lies
91,park
92,laying
93,holding
94,leash
95,ground
96,orange
97,hat
98,starring
99,something
100,wears
101,glasses
102,gauges
103,wearing
104,blitz
105,beer
106,can
107,crocheted
108,pierced
109,ears
110,rope
111,net
112,red
113,roping
114,climbs
115,bridge
116,grips
117,onto
118,ropes
119,playground
120,running
121,grassy
122,garden
123,surrounded
124,fence
125,through
126,boston
127,terrier
128,lush
129,green
130,runs
131,near
132,shakes
133,its
134,head
135,shore
136,ball
137,edge
138,beach
139,feet
140,stands
141,shaking
142,off
143,water
144,standing
145,turned
146,one
147,side
148,boy
149,smiles
150,stony
151,wall
152,city
153,overalls
154,working
155,stone
156,aross
157,walking
158,paved
159,metal
160,pole
161,behind
162,smiling
163,shirt
164,blue
165,jeans
166,rock
167,leaps
168,over
169,log
170,grey
171,leaping
172,fallen
173,tree
174,mottled
175,collar
176,jumping
177,jumped
178,stump
179,snow
180,field
181,surface
182,displaying
183,pictures
184,skier
185,skis
186,past
187,another
188,paintings
189,person
190,framed
191,looks
192,trees
193,artwork
194,for
195,sale
196,collage
197,cliff
198,group
199,people
200,belays
201,seven
202,climbers
203,ascending
204,face
205,whilst
206,several
207,row
208,watches
209,holds
210,line
211,chases
212,from
213,sprinkler
214,lawn
215,hose
216,away
217,prepares
218,catch
219,thrown
220,object
221,nearby
222,cars
223,about
224,yellow
225,mouth
226,toy
227,ready
228,flying
229,air
230,after
231,get
232,jumps
233,towards
234,trying
235,midair
236,woman
237,waters
238,big
239,lake
240,lone
241,duck
242,swimming
243,around
244,watching
245,waves
246,hand
247,facing
248,skyline
249,couple
250,infant
251,being
252,held
253,male
254,pond
255,stroller
256,sit
257,baby
258,their
259,newborn
260,under
261,care
262,along
263,body
264,outdoors
265,surf
266,lab
267,tags
268,frolicks
269,splashes
270,this
271,splashing
272,drilling
273,hole
274,ice
275,frozen
276,men
277,fishing
278,play
279,making
280,turn
281,soft
282,sand
283,together
284,tan
285,sandy
286,uses
287,picks
288,crampons
289,scale
290,climber
291,jacket
292,pants
293,scaling
294,waterfall
295,carries
296,as
297,he
298,walks
299,carrying
300,has
301,item
302,wet
303,kayak
304,life
305,jackets
306,rowing
307,canoe
308,gentle
309,ride
310,courtyard
311,catching
312,snaps
313,lunges
314,chocolate
315,too
316,late
317,captures
318,driveway
319,stick
320,kneeling
321,goalie
322,hockey
323,guarding
324,goal
325,kid
326,rink
327,right
328,crouches
329,modern
330,art
331,structure
332,glass
333,reads
334,newspaper
335,sculpture
336,office
337,statue
338,backpack
339,buildings
340,reading
341,tent
342,enter
343,setting
344,hut
345,iced
346,tarp
347,snowy
348,three
349,hill
350,sky
351,them
352,stand
353,kneels
354,skyscraper
355,very
356,tall
357,distance
358,camera
359,bites
360,hard
361,treat
362,biting
363,baked
364,good
365,putting
366,both
367,eats
368,food
369,table
370,eating
371,pizza
372,tin
373,dish
374,mountainside
375,check
376,out
377,view
378,hilltop
379,overlooking
380,valley
381,hang
382,top
383,overlook
384,rest
385,ledge
386,above
387,moutains
388,down
389,many
390,inflatable
391,boats
392,kayakers
393,railing
394,rafts
395,below
396,crowd
397,jersey
398,pose
399,some
400,multiracial
401,posing
402,picture
403,asian
404,blond
405,background
406,guy
407,striped
408,takeout
409,television
410,floor
411,fast
412,meal
413,someone
414,tv
415,teens
416,rail
417,crowded
418,takes
419,jump
420,skateboard
421,performing
422,trick
423,leans
424,skateboarder
425,doing
426,board
427,platform
428,skateboarders
429,paddling
430,river
431,seen
432,kayaking
433,paddles
434,boat
435,paddle
436,shallow
437,girls
438,ocean
439,four
440,children
441,pajamas
442,have
443,pillow
444,fight
445,kids
446,pillowfight
447,bed
448,having
449,constructions
450,workers
451,beam
452,taking
453,break
454,construction
455,ibeam
456,take
457,seat
458,steel
459,boys
460,puddle
461,balloon
462,mud
463,sunny
464,day
465,appears
466,wait
467,hailing
468,taxi
469,signaling
470,traffic
471,blonde
472,hair
473,tube
474,waving
475,arm
476,oncoming
477,brochure
478,train
479,rides
480,magizine
481,book
482,pamphlet
483,rocky
484,run
485,across
486,stones
487,area
488,descends
489,end
490,high
491,diving
492,pool
493,dive
494,window
495,overshirt
496,tank
497,chrome
498,door
499,puts
500,elevator
501,lightcolored
502,light
503,swim
504,shorts
505,trunks
506,arms
507,outstretched
508,hiker
509,bluff
510,mountains
511,ski
512,s
513,landscape
514,snowcovered
515,mountain
516,beautiful
517,pauses
518,mountaintop
519,attempting
520,purple
521,low
522,cut
523,yard
524,frisbee
525,parking
526,lot
527,middle
528,during
529,heavy
530,mat
531,between
532,suv
533,pickup
534,open
535,busy
536,terrain
537,woolly
538,doberman
539,chasing
540,catches
541,tennis
542,multicolor
543,balloons
544,night
545,hot
546,lit
547,lined
548,nighttime
549,helmet
550,bike
551,miniature
552,dirt
553,bicycle
554,race
555,pedals
556,quickly
557,bmx
558,eight
559,gathered
560,dark
561,porch
562,darkened
563,room
564,throwing
565,cleans
566,bubbles
567,suds
568,wiped
569,clean
570,foam
571,ramp
572,soapy
573,getting
574,cleaned
575,slides
576,slide
577,wading
578,toys
579,floating
580,backyard
581,sliding
582,colorful
583,tubes
584,falling
585,colored
586,wetsuit
587,toddler
588,waiting
589,come
590,so
591,droplets
592,fly
593,throws
594,sticks
595,tongue
596,make
597,faces
598,sticking
599,look
600,silly
601,horse
602,sweatshirt
603,fire
604,barrel
605,lead
606,horses
607,contained
608,bulldog
609,sheep
610,boxer
611,pushing
612,anouther
613,skinny
614,smaller
615,int
616,various
617,sizes
618,lady
619,no
620,dock
621,deck
622,closeup
623,that
624,paws
625,lying
626,resting
627,tiled
628,eyes
629,rests
630,patio
631,bricks
632,artificial
633,safety
634,harness
635,indoor
636,rocks
637,ring
638,jumphouse
639,teenage
640,seating
641,inflated
642,family
643,tractor
644,polaris
645,vehicle
646,played
647,wheeler
648,riding
649,atv
650,costume
651,left
652,sequined
653,feather
654,sidewalk
655,salmon
656,bikini
657,outfit
658,drinking
659,pop
660,approached
661,flamboyant
662,dressed
663,feathered
664,headress
665,skiiers
666,forest
667,skiing
668,wooded
669,crosscountry
670,skiers
671,woodland
672,trail
673,woods
674,hikers
675,pathway
676,path
677,happily
678,energetic
679,mother
680,boardwalk
681,sea
682,pier
683,evening
684,pony
685,wintertime
686,atop
687,draft
688,n
689,daft
690,pull
691,cart
692,golden
693,sleigh
694,driven
695,coat
696,pulling
697,carriage
698,sled
699,steered
700,sheer
701,using
702,flat
703,rappels
704,steep
705,incline
706,vest
707,inside
708,dome
709,shaft
710,cave
711,shows
712,spelunkers
713,cavern
714,bathed
715,sunlight
716,backpackers
717,lay
718,dry
719,camp
720,gear
721,chalk
722,portrait
723,stream
724,drawing
725,barnlike
726,elaborate
727,illustration
